Title,Price,Area,Rooms,Address,Owner Type,Owner Name,URL,Class
იყიდება 1 ოთახიანი ბინა ლისზე,100440 $,64.8 m²,1.0,ცაცხვების ქუჩა ,developer,ანთაგი,https://www.myhome.ge/pr/20601774/iyideba-1-otaxiani-bina-lisze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა დიდუბეში,75000 $,53 m²,2.0,მირცხულავას ქუჩა ,agent,Natia,https://www.myhome.ge/pr/20631039/iyideba-2-otaxiani-bina-didubeshi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა ლისზე,280600 $,244 m²,3.0,ცაცხვების ქუჩა ,developer,ანთაგი,https://www.myhome.ge/pr/20601872/iyideba-3-otaxiani-bina-lisze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა დიდ დიღომში,74000 $,55 m²,2.0,პ. იბერის ქ. 30,physical,მესაკუთრე,https://www.myhome.ge/pr/20487104/iyideba-2-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა ნუცუბიძის ფერდობზე,62000 $,37 m²,2.0,მელიტონ ქანთარიას ქ.,physical,შალე,https://www.myhome.ge/pr/20632018/iyideba-2-otaxiani-bina-nutsubidzis-ferdobze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა დიდ დიღომში,67000 $,59 m²,2.0,დემეტრე თავდადებულის ქუჩა ,physical,შალე,https://www.myhome.ge/pr/20563923/iyideba-2-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა ნუცუბიძის ფერდობზე,80000 $,55 m²,2.0,ნუცუბიძის პლ. II-მ/რ ,agent,ლუკა,https://www.myhome.ge/pr/20652718/iyideba-2-otaxiani-bina-nutsubidzis-ferdobze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა დიდ დიღომში,47000 $,52 m²,2.0,დემეტრე თავდადებულის ქუჩა 56,physical,მიშა,https://www.myhome.ge/pr/20233761/iyideba-2-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა საბურთალოზე,95000 $,46 m²,2.0,მინდელის ქუჩა ,physical,AA,https://www.myhome.ge/pr/20652804/iyideba-2-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 5 ოთახიანი ბინა დიდ დიღომში,320000 $,600 m²,5.0,ანდრონიკაშვილი ლ. ქ. 13,physical,ზაზა,https://www.myhome.ge/pr/20164377/iyideba-5-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 4 ოთახიანი ბინა საბურთალოზე,508000 $,127 m²,4.0,მიხეილ ასათიანის ქუჩა 10,physical,Alexander,https://www.myhome.ge/pr/20577114/iyideba-4-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა ორთაჭალაში,82000 $,56 m²,2.0,ნადიკვარის დას; 3-ქ 1,physical,მიშა,https://www.myhome.ge/pr/20436196/iyideba-2-otaxiani-bina-ortachalashi/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა დიდუბეში,73000 $,56.4 m²,2.0,მექანიზაციის შესახვევი ,physical,T,https://www.myhome.ge/pr/20493182/iyideba-2-otaxiani-bina-didubeshi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა დიდ დიღომში,330000 $,205.8 m²,3.0,13 ასურელი მამის ქ. 103,physical,T,https://www.myhome.ge/pr/20276945/iyideba-3-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 1 ოთახიანი ბინა დიდ დიღომში,55990 $,50.9 m²,1.0,მირიან მეფის ქ. 45,physical,კობა,https://www.myhome.ge/pr/18595147/iyideba-1-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 1 ოთახიანი ბინა სოლოლაკში,137500 $,55 m²,1.0,დადიანი შ. ქუჩა 12,physical,გია,https://www.myhome.ge/pr/20516381/iyideba-1-otaxiani-bina-sololakshi/,SUPER_VIP
